condition,pauc_5,auroc,f1,recall,specificity,fa_adv,fa_bloat,notes
Full CRM/PTS noisy replay,,,0.934,0.929,0.970,0/30,0/30,Noisy closed-loop replay condition; replace empty ranking metrics with local final values if needed.
w/o phi1 size penalty,,,,,,13/30,,Weight drift under noisy replay should be documented if applicable.
